City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
Kulhudhuffushi,0,MV,1545530721,100,6.62,73.07,81.88,3.09
Tura,0,IN,1545530509,84,25.52,90.21,63.57,4.25
Arraial do Cabo,0,BR,1545530726,92,-22.97,-42.02,78.01,4.81
Mataura,0,NZ,1545530728,63,-46.19,168.86,66.27,4.25
Saint-Francois,90,FR,1545528600,100,46.42,3.91,48.2,3.36
Yellowknife,90,CA,1545526800,84,62.45,-114.38,3.2,3.36
Lompoc,1,US,1545528900,71,34.64,-120.46,62.06,4.7
Deputatskiy,20,RU,1545530738,0,69.3,139.9,-40.43,3.09
Puerto Ayora,92,EC,1545530740,100,-0.74,-90.35,75.04,9.62
Pilot Butte,90,CA,1545528300,85,50.48,-104.42,17.6,8.05
Saskylakh,0,RU,1545530745,0,71.97,114.09,-41.69,7.72
Husavik,92,CA,1545530747,92,50.56,-96.99,18.25,5.37
Cap Malheureux,75,MU,1545526800,83,-19.98,57.61,78.8,14.99
Mitsamiouli,64,KM,1545530751,94,-11.38,43.28,83.19,5.32
Broome,64,GB,1545530160,93,52.47,1.45,43.16,4.7
Vaini,0,IN,1545526800,88,15.34,74.49,62.6,5.77
East London,80,ZA,1545530758,100,-33.02,27.91,73.96,18.12
Constitucion,20,MX,1545529200,12,23.99,-104.67,57.2,5.82
Esperance,20,TT,1545526800,78,10.24,-61.45,77.0,5.32
Wexford,90,US,1545530160,80,40.63,-80.06,33.8,5.82
Rikitea,80,PF,1545530767,100,-23.12,-134.97,77.61,17.4
Sitka,76,US,1545530769,60,37.17,-99.65,40.21,12.41
Comodoro Rivadavia,8,AR,1545530772,65,-45.87,-67.48,67.3,15.55
Borisoglebsk,88,RU,1545530734,93,51.37,42.08,19.74,8.72
Busselton,0,AU,1545530776,72,-33.64,115.35,77.34,9.91
Nikolskoye,75,RU,1545528600,85,59.7,30.79,19.4,8.95
Ponta do Sol,24,BR,1545530781,89,-20.63,-46.0,69.64,2.46
Noumea,76,NC,1545528600,52,-22.28,166.46,93.2,14.99
Coruripe,92,BR,1545530785,98,-10.12,-36.18,79.27,12.37
High Level,32,CA,1545530787,77,58.52,-117.13,4.12,3.2
Qaanaaq,0,GL,1545530790,74,77.48,-69.36,-17.57,4.21
Hounde,0,BF,1545530792,45,11.5,-3.52,58.89,7.83
Albany,90,US,1545530160,69,42.65,-73.75,35.96,11.41
Torbay,90,CA,1545526800,88,47.66,-52.73,35.6,27.51
Barrow,36,AR,1545530799,49,-38.31,-60.23,68.79,10.92
Iqaluit,90,CA,1545527460,76,63.75,-68.52,-7.61,32.21
Bredasdorp,0,ZA,1545526800,88,-34.53,20.04,69.8,3.47
Zima,68,RU,1545530806,71,53.93,102.05,7.9,3.02
Fortuna,0,ES,1545528600,93,38.18,-1.13,42.8,3.36
Pedernales,64,EC,1545530811,99,0.07,-80.05,71.94,2.98
Narrabri,0,AU,1545526800,27,-30.33,149.78,78.8,14.99
Hobart,75,AU,1545528600,40,-42.88,147.33,69.8,14.99
Caravelas,0,BR,1545530818,100,-17.73,-39.27,80.31,20.8
Tazovskiy,24,RU,1545530820,0,67.47,78.7,-31.79,15.61
Hilo,75,US,1545526380,71,19.71,-155.08,78.98,10.29
Pangnirtung,36,CA,1545530824,61,66.15,-65.72,-3.08,5.03
Thompson,90,CA,1545526800,70,55.74,-97.86,-0.41,6.93
Chokurdakh,44,RU,1545530829,0,70.62,147.9,-32.78,3.53
Chuy,92,UY,1545530831,96,-33.69,-53.46,66.4,7.11
Kapaa,75,US,1545526560,66,22.08,-159.32,80.06,10.29
Namatanai,92,PG,1545530836,100,-3.66,152.44,79.27,2.35
Sisimiut,92,GL,1545530838,100,66.94,-53.67,17.26,2.98
Buchanan,20,LR,1545528600,94,5.88,-10.05,75.2,5.88
Kumo,0,NG,1545530842,58,10.05,11.21,55.78,5.82
Kodiak,1,US,1545528900,74,39.95,-94.76,35.6,7.11
Port Alfred,20,ZA,1545530847,93,-33.59,26.89,71.49,7.23
Oulu,80,FI,1545529800,83,65.01,25.47,-5.81,2.24
Cabo San Lucas,5,MX,1545529200,83,22.89,-109.91,71.6,2.75
Narsaq,92,GL,1545530854,76,60.91,-46.05,19.29,3.02
Albury,0,AU,1545526800,33,-36.08,146.92,75.2,5.82
Eston,40,CA,1545526800,85,51.15,-108.75,14.0,10.29
Georgetown,40,GY,1545526800,83,6.8,-58.16,78.8,11.41
Fort-Shevchenko,24,KZ,1545530864,100,44.51,50.26,26.35,9.4
Ambon,90,FR,1545528600,100,47.55,-2.56,55.4,8.05
Mareeba,75,AU,1545528600,66,-16.99,145.42,89.6,11.41
Prince Rupert,90,CA,1545527580,100,54.32,-130.32,42.8,8.05
Paita,8,PE,1545530863,73,-5.09,-81.11,74.77,7.9
Dargaville,88,NZ,1545530875,84,-35.94,173.86,73.15,4.21
New Norfolk,75,AU,1545528600,40,-42.78,147.06,69.8,14.99
Yuxia,0,CN,1545526800,47,34.06,108.63,33.8,8.95
Atambua,92,ID,1545530882,100,-9.11,124.89,76.48,5.48
Howard Springs,75,AU,1545528600,70,-12.5,131.05,89.6,6.93
Punta Arenas,20,CL,1545526800,85,-53.16,-70.91,50.0,32.21
Grand Haven,90,US,1545530100,71,43.06,-86.23,33.08,4.7
Itaituba,92,BR,1545530891,96,-4.26,-55.99,74.5,1.52
Vanimo,36,PG,1545530893,100,-2.67,141.3,83.46,12.53
